PAGE_NAME,IS_MOBILE,RAW_TRAFFIC,RAW_TRAFFIC_WITH_CALL,CALL_TO_TRAFFIC_RATIO
main>account>subpage10>subsubpage_c,MOB,44,18,0.4090909090909091
main>account>subpage10>subsubpage_e,MOB,2531,545,0.21532990912682734
main>account>subpage10>subsubpage_h,MOB,15,2,0.13333333333333333
main>account>subpage10>subsubpage_m,MOB,636,-82,-0.1289308176100629
main>account>subpage10>subsubpage_o,MOB,37,4,0.10810810810810811
main>account>subpage10>subsubpage_p,MOB,77,7,0.09090909090909091
main>account>subpage10>subsubpage_q,MOB,9,1,0.1111111111111111
main>account>subpage10>subsubpage_r,MOB,437,24,0.05491990846681922
main>account>subpage10>subsubpage_s,MOB,288,41,0.1423611111111111
main>account>subpage10>subsubpage_v,MOB,36,2,0.05555555555555555
main>account>subpage10>subsubpage_x,MOB,2995,-141,-0.04707846410684474
main>account>subpage10>subsubpage_y,MOB,1088,307,0.2821691176470588
main>account>subpage10>subsubpage_z,MOB,76,21,0.27631578947368424
main>account>subpage1>subsubpage_a,MOB,83,33,0.39759036144578314
main>account>subpage1>subsubpage_b,MOB,2948,464,0.15739484396200815
main>account>subpage1>subsubpage_c,MOB,16,1,0.0625
main>account>subpage1>subsubpage_d,MOB,40,2,0.05
main>account>subpage1>subsubpage_g,MOB,26,-2,-0.07692307692307693
main>account>subpage1>subsubpage_h,MOB,1361,404,0.29684055841293167
main>account>subpage1>subsubpage_i,MOB,48,0,0.0
main>account>subpage1>subsubpage_j,MOB,70,-1,-0.014285714285714285
main>account>subpage1>subsubpage_l,MOB,18,2,0.1111111111111111
main>account>subpage1>subsubpage_o,MOB,7,2,0.2857142857142857
main>account>subpage1>subsubpage_p,MOB,92,17,0.18478260869565216
main>account>subpage1>subsubpage_q,MOB,29,0,0.0
main>account>subpage1>subsubpage_r,MOB,28,1,0.03571428571428571
main>account>subpage1>subsubpage_w,MOB,343,83,0.24198250728862974
main>account>subpage1>subsubpage_x,MOB,67,8,0.11940298507462686
main>account>subpage1>subsubpage_y,MOB,44,1,0.022727272727272728
main>account>subpage2>subsubpage_a,MOB,23,2,0.08695652173913043
main>account>subpage2>subsubpage_c,MOB,95,24,0.25263157894736843
main>account>subpage2>subsubpage_d,MOB,52,23,0.4423076923076923
main>account>subpage2>subsubpage_e,MOB,8638,-316,-0.03658254225515165
main>account>subpage2>subsubpage_h,MOB,215,12,0.05581395348837209
main>account>subpage2>subsubpage_j,MOB,62,1,0.016129032258064516
main>account>subpage2>subsubpage_l,MOB,35,-7,-0.2
main>account>subpage2>subsubpage_m,MOB,318,3,0.009433962264150943
main>account>subpage2>subsubpage_r,MOB,129,0,0.0
main>account>subpage2>subsubpage_s,MOB,9,3,0.3333333333333333
main>account>subpage2>subsubpage_v,MOB,376,48,0.1276595744680851
main>account>subpage2>subsubpage_w,MOB,31,-2,-0.06451612903225806
main>account>subpage2>subsubpage_z,MOB,31,7,0.22580645161290322
main>account>subpage3>subsubpage_c,MOB,40,3,0.075
main>account>subpage3>subsubpage_d,MOB,5,0,0.0
main>account>subpage3>subsubpage_g,MOB,11,0,0.0
main>account>subpage3>subsubpage_h,MOB,108,6,0.05555555555555555
main>account>subpage3>subsubpage_l,MOB,45,0,0.0
main>account>subpage3>subsubpage_n,MOB,196,30,0.15306122448979592
main>account>subpage3>subsubpage_o,MOB,105,-19,-0.18095238095238095
